s_State,s_State-Short,s_State-raw,s_Period,s_Quarter,Broad Type of Service,Services,Benefits ($),Bulk Billed Services,Patient Billed Services,Bulk Billed Benefits ($),Patient Billed Beng Rate (efits ($),MBS Bulk Billing Rate (%),Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($),Schedule Fee ($),Fee Charged ($),Bulk Billed Fee Charged ($),Patient Billed Fee Charged ($)
Victoria,VIC,Vic,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,8961717,180049563.3,8027853,933864,160928828.2,19120735.14,0.895794076,23.83521375,213692807.4,193365615.5,160393310.4,32972305.13
Queensland,QLD,Qld,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,7613681,163095501.2,6755533,858148,145012318.2,18083182.98,0.887288685,25.04136817,193865224.3,174676353.5,144610081.4,30066272.15
South Australia,SA,SA,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,2528198,49319557.15,2292593,235605,44236290.3,5083266.85,0.906809119,23.83601081,58477569.22,52331790.28,44049983.55,8281806.73
Western Australia,WA,WA,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,3525937,73256149.31,3179688,346249,65880870.25,7375279.06,0.901799437,21.25153505,86952154.67,78338563.64,65734501.55,12604062.09
Tasmania,TAS,Tas,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,732350,14410902.05,676579,55771,13143936.3,1266965.75,0.923846521,32.01134038,17074514.22,15260213.65,13117213.95,2142999.7
Northern Territory,NT,NT,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,280702,5936164.9,271707,8995,5683445.35,252719.55,0.967955341,28.17792642,6993992.24,6058970,5667582.65,391387.35
Australian Capital Territory,ACT,ACT,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,518664,10783590.83,461824,56840,9461069,1322521.83,0.890410748,18.42931027,12761036.8,11583397.51,9433347.55,2150049.96
Unknown,UNK,Unk,1/3/2019,2018-19 Q3 (Mar Qtr),Total Pathology,191,3951.5,176,15,3643.6,307.9,0.921465969,7.7,4712.65,4111.11,3643.6,467.51
Australia,AU,Australia,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,6881510,949611927.5,5471397,1410113,772252594.3,177359333.2,0.795086689,113.3586122,1024500830,1094000384,772252594.3,321747789.6
New South Wales,NSW,NSW,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,2400943,336961282.7,1929151,471792,277265597.8,59695684.91,0.803497209,103.1705503,363415245.1,379040275.9,277265597.8,101774678.1
Victoria,VIC,Vic,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,1709524,231558938.9,1348178,361346,187414965.1,44143973.89,0.788627712,116.3772342,249778043.4,270006598.6,187414965.1,82591633.5
Queensland,QLD,Qld,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,1451889,200810864.1,1201239,250650,169593523.1,31217341.02,0.827362836,113.2736203,215722747,227491426.9,169593523.1,57897903.83
South Australia,SA,SA,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,465801,63184239.41,356808,108993,49120837.8,14063401.61,0.766009519,109.5336264,68529247.75,73844081.35,49120837.8,24723243.55
Western Australia,WA,WA,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,605259,83117278.01,451237,154022,62835508.05,20281769.96,0.745527121,130.3111857,90227079.45,102396531.2,62835508.05,39561023.18
Tasmania,TAS,Tas,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,125866,17204430.05,96876,28990,13454904.6,3749525.45,0.769675687,123.7512648,18646541.45,20311235.63,13454904.6,6856331.03
Northern Territory,NT,NT,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,37705,4912286,31942,5763,4228182.35,684103.65,0.84715555,133.6385956,5257151.45,5548750.76,4228182.35,1320568.41
Australian Capital Territory,ACT,ACT,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,84512,11860326.62,55957,28555,8337341.8,3522984.82,0.662118989,127.5736465,12922345.35,15358868.87,8337341.8,7021527.07
Unknown,UNK,Unk,1/3/2019,2018-19 Q3 (Mar Qtr),Diagnostic Imaging,11,2281.65,9,2,1733.75,547.9,0.818181818,166.5,2429.4,2614.65,1733.75,880.9
Australia,AU,Australia,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,2833071,478260186.9,1260600,1572471,123187461.8,355072725.1,0.444958845,104.6337812,604338788.7,945727999.9,123187461.8,822540538.2
New South Wales,NSW,NSW,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,930761,158086756.8,448880,481881,45234883.7,112851873.1,0.482272033,128.4927623,197962398.7,323904212.7,45234883.7,278669329
Victoria,VIC,Vic,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,582918,107614218.7,196888,386030,20622410.7,86991807.96,0.337762773,96.86258314,137913516.5,212096672.7,20622410.7,191474262
Queensland,QLD,Qld,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,748674,109661102.3,409123,339551,37140883.15,72520219.11,0.546463481,101.5920126,137051341,208828064.4,37140883.15,171687181.2
South Australia,SA,SA,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,190754,35021153.02,67524,123230,7053048.3,27968104.72,0.353984713,68.44748707,44799787.71,65717345.17,7053048.3,58664296.87
Western Australia,WA,WA,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,277608,48922277.71,105787,171821,9696566.3,39225711.41,0.381066108,84.21650372,62567174.89,95055391.57,9696566.3,85358825.27
Tasmania,TAS,Tas,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,56238,10718965.59,16994,39244,1843846.75,8875118.84,0.302180021,61.01944387,13684149.86,20273989.67,1843846.75,18430142.92
Northern Territory,NT,NT,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,14390,2269783.8,6925,7465,611541.35,1658242.45,0.48123697,79.14315603,2892562.3,4423554.84,611541.35,3812013.49
Australian Capital Territory,ACT,ACT,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,31716,5963511.69,8474,23242,983274.75,4980236.94,0.267183756,144.4593367,7464872.97,15424987.58,983274.75,14441712.83
Unknown,UNK,Unk,1/3/2019,2018-19 Q3 (Mar Qtr),Total Operations,12,2417.3,5,7,1006.75,1410.55,0.416666667,228.35,2984.7,3781.4,1006.75,2774.65
Australia,AU,Australia,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,2526426,117167185.6,2391213,135213,111056856.1,6110329.51,0.946480522,28.96509877,137761407.1,121083643.5,111056856.1,10026787.41
New South Wales,NSW,NSW,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,821021,37876547.41,780754,40267,36030449.35,1846098.06,0.950954969,28.85215785,44534585.9,39038337.25,36030449.35,3007887.9
Victoria,VIC,Vic,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,623131,29039090.8,584421,38710,27250337.85,1788752.95,0.937878231,28.52461844,34141687.75,30143278.78,27250337.85,2892940.93
Queensland,QLD,Qld,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,551454,25413000,522757,28697,24177326.2,1235673.8,0.947961208,28.5152678,29878736.8,26231302.64,24177326.2,2053976.44
South Australia,SA,SA,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,180244,8377220.95,173004,7240,8053151.15,324069.8,0.959832227,30.80592403,9850866.35,8600255.84,8053151.15,547104.69
Western Australia,WA,WA,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,238654,11237606.35,227025,11629,10714377.8,523228.55,0.951272554,29.23593172,13214057.95,11577591,10714377.8,863213.2
Tasmania,TAS,Tas,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,54639,2540454.3,51585,3054,2398306.1,142148.2,0.944105858,19.14366405,2987436.9,2598919.05,2398306.1,200612.95
Northern Territory,NT,NT,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,17254,805930.25,16576,678,775369.2,30561.05,0.960704764,30.69705015,947723.45,826742.85,775369.2,51373.65
Australian Capital Territory,ACT,ACT,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,40022,1876994.6,35084,4938,1657197.5,219797.1,0.87661786,38.45292629,2205911.05,2066875.15,1657197.5,409677.65
Unknown,UNK,Unk,1/3/2019,2018-19 Q3 (Mar Qtr),Optometry,7,340.9,7,0,340.9,0,1,-,400.9,340.9,340.9,0
Australia,AU,Australia,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,598300,133230803.9,440670,157630,80702957.25,52527846.64,0.736536854,70.71127805,125394430.8,144968249.4,80702957.25,64265292.19
New South Wales,NSW,NSW,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,189340,40092158.44,150602,38738,27001296.05,13090862.39,0.795405091,75.36769978,38858851.45,43137968.67,27001296.05,16136672.62
Victoria,VIC,Vic,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,137863,29649209.25,103562,34301,18973277.15,10675932.1,0.751195027,66.54623655,29185588.85,32177648.09,18973277.15,13204370.94
Queensland,QLD,Qld,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,130572,30104657.6,88567,42005,16430005.65,13674651.95,0.678300095,66.21452374,27466101.05,33072396.64,16430005.65,16642390.99
South Australia,SA,SA,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,35578,10832935.6,15188,20390,3639111.55,7193824.05,0.426893024,72.24550606,8614706.75,12331706.43,3639111.55,8692594.88
Western Australia,WA,WA,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,70787,16548476.95,52314,18473,9720963,6827513.95,0.739034003,79.58776596,14787399.2,18030363.8,9720963,8309400.8
Tasmania,TAS,Tas,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,23207,3919089,20864,2343,3355368.4,563720.6,0.899039083,27.0557208,4346604.1,4008647.08,3355368.4,653278.68
Northern Territory,NT,NT,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,2834,620608.65,2546,288,520337.1,100271.55,0.898376853,145.4112583,654656.2,650818.05,520337.1,130480.95
Australian Capital Territory,ACT,ACT,1/3/2019,2018-19 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,8119,1463668.4,7027,1092,1062598.35,401070.05,0.865500677,90.21825462,1480523.15,1558700.68,1062598.35,496102.33
Australia,AU,Australia,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,2998195,408272422.7,1801585,1196610,279677644.4,128594778.3,0.600889869,112.7899849,465743964.1,508661542.7,279677644.4,228983898.3
New South Wales,NSW,NSW,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,1000330,139070864.5,625715,374615,96541705.3,42529159.17,0.625508582,115.3762582,158589841.9,171899179.7,96541705.3,75357474.41
Victoria,VIC,Vic,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,734064,101863104.4,449737,284327,69634766.45,32228337.92,0.612667288,130.5684774,115650309.7,127630338.8,69634766.45,57995572.38
Queensland,QLD,Qld,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,640627,82927716.23,356833,283794,57090306.65,25837409.58,0.557005871,103.9348838,95334788.67,103291499.9,57090306.65,46201193.25
South Australia,SA,SA,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,216954,29951458.6,121099,95855,19636370.5,10315088.1,0.558178231,88.57353965,34316962.4,37377376.35,19636370.5,17741005.85
Western Australia,WA,WA,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,283820,36302076.92,169139,114681,23894311.75,12407765.17,0.595937566,104.3452118,41381165.8,46367376.26,23894311.75,22473064.51
Tasmania,TAS,Tas,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,68953,9292477.04,44760,24193,6982699.45,2309777.59,0.649137819,72.39562755,10821670.21,10810292.7,6982699.45,3827593.25
Northern Territory,NT,NT,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,16049,3646939.85,12581,3468,2865313.3,781626.55,0.78391177,291.5987915,3960896.65,4248645.25,2865313.3,1383331.95
Australian Capital Territory,ACT,ACT,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,37389,5216725.33,21715,15674,3031275.45,2185449.88,0.580785793,147.0743174,5687083.8,7035651.28,3031275.45,4004375.83
Unknown,UNK,Unk,1/3/2019,2018-19 Q3 (Mar Qtr),Other MBS Services,9,1059.85,6,3,895.55,164.3,0.666666667,40.85,1245.05,1182.4,895.55,286.85
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,105483625,6025009034,83368358,22115267,4146594640,1878414394,0.790344075,61.10504853,6533929011,7712141021,4144249604,3567891417
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,35662079,2051492240,28601182,7060897,1444922266,606569974.5,0.802005458,65.96860136,2219860789,2617629759,1443952778,1173676981
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,26871829,1524879575,21064642,5807187,1032960740,491918835.1,0.783893125,60.52009943,1654470199,1952890699,1032392050,920498649.1
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,21321133,1231864782,16845718,4475415,860071685.1,371793096.5,0.790094879,57.72000044,1335667527,1564415785,859683169.4,704732615.5
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,7491126,420122920.4,5933527,1557599,285605252.4,134517668,0.792074115,52.34571886,458998970.7,528609604.9,285393416.5,243216188.4
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,9871110,558946478.3,7670867,2200243,367709029.4,191237449,0.777102778,62.85666543,607387715.9,733373497.7,367575873.8,365797623.9
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,2107440,119281178.7,1606765,500675,78837052.2,40444126.48,0.762425028,48.55858388,131359928.3,152984951.9,78807594.8,74177357.14
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,736358,38597722.47,655476,80882,31294159.4,7303563.07,0.890159406,73.61842849,41721232.61,46292498.47,31277662.55,15014835.92
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,1422073,79796691.5,989877,432196,45179585.7,34617105.8,0.6960803,63.11495053,84431636.14,115907355.7,45152189.45,70755166.25
Unknown,UNK,Unk,1/12/2018,2018-19 Q2 (Dec Qtr),Total Medicare,477,27445.55,304,173,14870.15,12575.4,0.637316562,51.95853659,31012.45,36869.65,14870.15,21999.5
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,38024535,1956957811,32658721,5365814,1696316848,260640963.3,0.85888548,36.26321369,1936880468,2151159980,1696316848,454843132.2
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,12574476,648670834.4,11144991,1429485,577903335.7,70767498.67,0.886318523,35.09375109,642236727.6,698553652.3,577903335.7,120650316.6
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,9868447,500466874.6,8395577,1472870,428422678.2,72044196.37,0.850749566,36.15100553,494751162.3,553643469.9,428422678.2,125220791.7
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,7727202,403131669.5,6611116,1116086,349137276.2,53994393.26,0.855564019,37.03796228,399077415.8,444518559.1,349137276.2,95381282.82
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,2659836,137560995,2260356,399480,118564865.7,18996129.3,0.849810289,32.23361825,136934252.4,150454346.4,118564865.7,31889480.65
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,3667825,187379891.7,3109477,558348,161227636.1,26152255.65,0.847771363,38.15126484,185649173.5,208649100.3,161227636.1,47421464.23
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,749614,38614470.36,572208,177406,30271696.25,8342774.11,0.763336864,37.11660946,38153330,45199326.62,30271696.25,14927630.37
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,280332,15691128.46,250685,29647,14320889,1370239.46,0.894243254,45.17477593,15652023.9,17030443.66,14320889,2709554.66
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,496662,25435260.55,314184,182478,16462360.45,8972900.1,0.632591179,42.02814082,24419695.7,33103810.98,16462360.45,16641450.53
Unknown,UNK,Unk,1/12/2018,2018-19 Q2 (Dec Qtr),Total GP Non-Referred Attendances,141,6686.85,127,14,6110.45,576.4,0.90070922,41.72857143,6686.85,7271.05,6110.45,1160.6
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,579386,7830408.7,576777,2609,7796244,34164.7,0.995496957,7.562993484,7828269.6,7850140.55,7796244,53896.55
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,162886,2170039.7,162194,692,2160772.8,9266.9,0.99575163,7.76849711,2169088.8,2175415.5,2160772.8,14642.7
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,110680,1365671.25,110071,609,1357930.8,7740.45,0.994497651,11.79679803,1365320.4,1372855.5,1357930.8,14924.7
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,142008,1986507.65,141513,495,1980105.6,6402.05,0.996514281,7.68040404,1986057.6,1990309.45,1980105.6,10203.85
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,56549,709567,56062,487,703068,6499,0.991388,3.978644764,709524,711504.6,703068,8436.6
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,61682,816585.35,61420,262,813109.2,3476.15,0.995752408,4.291603053,816253.2,817709.75,813109.2,4600.55
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,14301,177718.95,14255,46,177154.8,564.15,0.996783442,2.934782609,177706.8,177853.95,177154.8,699.15
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,27841,562213.2,27838,3,562177.2,36,0.999892245,33.66666667,562213.2,562314.2,562177.2,137
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,3436,42069.6,3422,14,41901.6,168,0.995925495,2.428571429,42069.6,42103.6,41901.6,202
Unknown,UNK,Unk,1/12/2018,2018-19 Q2 (Dec Qtr),Practice Nurse,3,36,2,1,24,12,0.666666667,38,36,74,24,50
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,3394634,258056772.7,2105031,1289603,140103149.7,117953623.1,0.620105437,45.13073853,288738293.1,316257508.5,140103149.7,176154358.9
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,1059646,78881882.65,634508,425138,41658059.75,37223822.9,0.598792427,43.8855327,88039310.85,97539290.25,41658059.75,55881230.5
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,973549,74827712.78,585573,387976,39142671.75,35685041.03,0.601482822,45.02631106,83319168.65,92296840.84,39142671.75,53154169.09
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,698596,52756871.1,467325,231271,31552262.9,21204608.2,0.668948863,44.78710573,59466197.35,63114829.83,31552262.9,31562566.93
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,257486,18804234.69,185567,71919,11908107.7,6896126.99,0.720687727,45.70744212,21473044.1,22091468.22,11908107.7,10183360.52
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,299985,23843317.91,185551,114434,12371344.65,11471973.26,0.61853426,49.86331055,26614010.25,29549375.99,12371344.65,17178031.34
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,61791,4952902,30960,30831,2357784.45,2595117.55,0.501043841,32.42872466,5635577.5,5952712.01,2357784.45,3594927.56
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,10568,778766.6,7004,3564,448243.95,330522.65,0.662755488,59.18708193,872884.9,989709.36,448243.95,541465.41
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,33008,3210766.65,8538,24470,664356.15,2546410.5,0.258664566,61.79799877,3317725.15,4722963.68,664356.15,4058607.53
Unknown,UNK,Unk,1/12/2018,2018-19 Q2 (Dec Qtr),Other Allied Health,5,318.35,5,0,318.35,0,1,-,374.3,318.35,318.35,0
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,8128094,676168397.3,2585078,5543016,221260530.4,454907866.9,0.318042336,75.10399689,745425201,1046858163,221260530.4,825597632.8
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,2833196,245203440,1033584,1799612,90665070.35,154538369.6,0.364812036,82.48832028,266742933.1,378196092.7,90665070.35,287531022.4
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,2307647,192049543.6,722395,1585252,61952987,130096556.6,0.313043979,69.93776259,213311542.6,292473171.4,61952987,230520184.4
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,1479064,120302496.6,396699,1082365,33175306,87127190.57,0.268209489,74.38918426,133179319.6,189336002.3,33175306,156160696.3
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,570835,44832399.64,196544,374291,16633866.1,28198533.54,0.344309652,60.02067658,50986001.24,66503565.77,16633866.1,49869699.67
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,647075,50548397.47,141549,505526,10819629.2,39728768.27,0.218752077,74.93543388,55588824,83918591.86,10819629.2,73098962.66
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,162949,12237566.96,54953,107996,4626153,7611413.96,0.337240486,61.03639386,14049153.35,18233048.95,4626153,13606895.95
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,26643,2076976.7,10454,16189,926975.3,1150001.4,0.392373231,91.60359589,2415412,3311554.15,926975.3,2384578.85
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,100630,8913752.1,28897,71733,2460240.05,6453512.05,0.287160886,90.36025587,9147233.65,14879478.42,2460240.05,12419238.37
Unknown,UNK,Unk,1/12/2018,2018-19 Q2 (Dec Qtr),Specialist Attendances,55,3824.3,3,52,303.4,3520.9,0.054545455,68.84,4781.4,6657.65,303.4,6354.25
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,491889,45871172.64,290809,201080,14117070.55,31754102.09,0.591208586,236.9784954,50735806.6,108573700,14117070.55,94456629.45
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,167993,16085510.12,101525,66468,4943605.55,11141904.57,0.604340657,284.88936,17682064,39601266.46,4943605.55,34657660.91
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,132255,12085006.87,91920,40335,4321872.2,7763134.67,0.695020982,372.2006904,13543843.95,29732738.75,4321872.2,25410866.55
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,93786,8298437.15,49775,44011,2427803.05,5870634.1,0.530729533,129.2561189,9207093.35,17407885.35,2427803.05,14980082.3
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,26470,2601432.8,13761,12709,735253.8,1866179,0.519871553,176.8728578,2886707.2,6028923.32,735253.8,5293669.52
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,53441,5191470.55,24556,28885,1269120.55,3922350,0.45949739,156.1539964,5643809.5,12233749.21,1269120.55,10964628.66
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,8036,757944.1,3769,4267,182216.7,575727.4,0.469014435,118.1557147,853235.6,1577974.87,182216.7,1395758.17
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,3482,257080.9,2407,1075,88679.45,168401.45,0.691269385,266.2894984,280502.45,550535.85,88679.45,461856.4
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Obstetrics,6426,594290.15,3096,3330,148519.25,445770.9,0.481792717,206.7899934,638550.55,1440626.19,148519.25,1292106.94
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,906032,125522727.3,96660,809372,9255130.2,116267597.1,0.106684974,139.5941761,162812169.2,311679938,9255130.2,302424807.8
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,292128,42282629.84,37689,254439,3541318.25,38741311.59,0.129015363,164.1592603,54331629.05,107361236.5,3541318.25,103819918.2
Victoria,VIC,Vic,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,229942,30933939.02,25659,204283,2461778.5,28472160.52,0.111589009,124.2291515,40008731.35,75764436.04,2461778.5,73302657.54
Queensland,QLD,Qld,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,183982,24974855.52,21179,162803,2028490.3,22946365.22,0.115114522,81.13976114,32791007.4,61231152.93,2028490.3,59202662.63
South Australia,SA,SA,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,66096,9025697.11,5587,60509,601191.7,8424505.41,0.084528565,175.8108578,11879078.55,21835397.21,601191.7,21234205.51
Western Australia,WA,WA,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,99823,13480578.84,4570,95253,415859.35,13064719.49,0.045781032,220.2246963,17559445,33019783.25,415859.35,32603923.9
Tasmania,TAS,Tas,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,17715,2523902.7,1087,16628,123355.9,2400546.8,0.061360429,89.5512766,3316791.75,6007990.89,123355.9,5884634.99
Northern Territory,NT,NT,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,3962,580270.01,150,3812,14312.4,565957.61,0.037859667,189.4410227,756599.75,1412233.28,14312.4,1397920.88
Australian Capital Territory,ACT,ACT,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,12376,1719309.9,739,11637,68823.8,1650486.1,0.059712346,220.1903906,2166827.1,5044143.31,68823.8,4975319.51
Unknown,UNK,Unk,1/12/2018,2018-19 Q2 (Dec Qtr),Anaesthetics,8,1544.4,0,8,0,1544.4,0,-,2059.2,3564.55,0,3564.55
Australia,AU,Australia,1/12/2018,2018-19 Q2 (Dec Qtr),Total Pathology,37919944,781039805.1,33701551,4218393,692595597.3,88444207.84,0.888755295,22.62569577,927335213.4,837147214.1,690250561.4,146896652.7
New South Wales,NSW,NSW,1/12/2018,2018-19 Q2 (Dec Qtr),Total Pathology,13131014,271932886.6,11521639,1609375,240083887.5,31848999.09,0.877437112,23.34461063,322757518.2,289822568.5,239114399.6,50708168.93
